,PRIO3.SAO,RAIZ4.SAO,ITUB4.SAO,IGTA3.SAO,ARZZ3.SAO,ENGI11.SAO,SLCE3.SAO,WEGE3.SAO,GGBR4.SAO,PSSA3.SAO
2019-08-09,3.522,,29.6682,47.5853,49.6105,48.8862,17.9987,11.8323,13.182,24.7316
2019-08-12,3.478,,28.4401,46.544,48.6745,48.1289,17.7119,11.6219,12.8249,24.8028
2019-08-13,3.51,,28.9976,46.7601,48.4183,48.5916,17.7215,11.8813,13.1621,24.4204
2019-08-14,3.426,,28.3593,45.4339,47.3936,47.3674,16.6987,11.2989,12.6067,23.8958
2019-08-15,3.34,,28.2785,44.815,45.9944,46.7987,16.7752,10.9368,12.1802,23.5179
2019-08-16,3.216,,28.3917,45.1294,46.2802,47.7048,17.2531,11.157,12.5769,23.9181
2019-08-19,3.24,,28.2677,44.6972,46.9009,47.0011,17.2723,11.0298,12.2278,23.7891
2019-08-20,3.136,,27.9536,44.8445,46.5758,46.2685,17.1958,11.0592,12.2777,23.9092
2019-08-21,3.226,,28.1685,45.1883,47.5906,46.2685,17.2531,11.2843,12.5171,23.7847
2019-08-22,3.22,,27.7222,44.815,46.5068,46.2685,17.1576,11.1228,12.5769,23.7847
2019-08-23,3.03,,27.3998,44.54,45.3244,45.4203,16.5936,10.8732,12.2578,24.2871
2019-08-26,2.914,,27.3915,43.4398,45.0682,44.5913,15.4083,10.5454,11.9785,24.2115
2019-08-27,2.888,,27.7139,44.4025,45.1569,45.0443,15.8863,10.609,11.7391,24.127
2019-08-28,3.1,,28.028,44.5105,45.3244,44.6298,15.7047,10.8096,11.8788,24.2737
2019-08-29,3.22,,28.1768,44.8936,47.1571,45.1889,16.4598,10.9613,12.4971,24.4516
2019-08-30,3.38,,28.0528,45.1883,48.7533,45.7769,16.5649,11.0102,12.8362,24.8961
2019-09-02,3.33,,27.7013,45.2276,47.4921,46.1239,16.6032,11.1472,12.6268,25.3407
2019-09-03,3.37,,27.1721,44.7463,46.9009,45.6998,16.4502,10.8585,12.547,25.274
2019-09-04,3.384,,27.3623,45.0901,47.3837,46.2685,16.9568,11.0738,12.547,24.8517
2019-09-05,3.37,,28.1396,45.5322,47.7187,46.4035,17.0237,11.1472,12.6368,24.6961
2019-09-06,3.404,,29.0823,45.1196,47.2852,46.577,17.3392,11.1766,12.3974,25.3496
2019-09-09,3.406,,29.7934,43.2236,47.2261,44.1961,17.2436,11.0494,13.0756,24.9361
2019-09-10,3.386,,29.2146,43.9015,47.1078,44.7455,17.3487,11.2206,13.4845,24.7405
2019-09-11,3.43,,29.0823,45.3848,48.7336,45.7384,17.6928,11.294,13.1953,25.483
2019-09-12,3.424,,29.2642,44.7463,47.9848,46.1625,17.6355,11.2794,13.5743,25.932
2019-09-13,3.406,,29.6611,43.9113,47.3936,46.6252,17.3296,11.6072,13.5244,25.4074
2019-09-16,3.498,,29.1319,43.6166,47.502,46.8372,17.7119,11.3723,13.4646,25.0695
2019-09-17,3.418,,29.2394,44.8936,48.3592,46.924,18.1612,11.6464,13.5444,25.443
